category_title;word;likes;dislikes;comments;views;days_until_trendy
Music                ;america;4934188.0;335462.0;509799.0;217750076.0;25.0
Music                ;gambino;4934188.0;335462.0;509799.0;217750076.0;25.0
Entertainment        ;youtuberewind;3093544.0;1643059.0;810698.0;149376127.0;8.0
Music                ;singularity;2700800.0;29341.0;371864.0;29741771.0;10.0
Music                ;tear;2700800.0;29341.0;371864.0;29741771.0;10.0
Music                ;è½‰;2700800.0;29341.0;371864.0;29741771.0;10.0
Music                ;daydream;2672431.0;29088.0;477233.0;23416810.0;5.0
Music                ;ë°±ì?¼ëª½;2672431.0;29088.0;477233.0;23416810.0;5.0
Music                ;childish;2479733.0;168560.0;256597.0;109546057.0;20.0
Music                ;culpa;2376636.0;117196.0;134224.0;102012605.0;9.0
Music                ;fonsi;2376636.0;117196.0;134224.0;102012605.0;9.0
Music                ;luis;2376636.0;117196.0;134224.0;102012605.0;9.0
Music                ;ã‰chame;2376636.0;117196.0;134224.0;102012605.0;9.0
Music                ;jhope;2228280.0;20125.0;328683.0;17790296.0;9.0
Music                ;euphoria;2162749.0;18342.0;227648.0;17624672.0;17.0
Music                ;theme;2162749.0;18342.0;227648.0;17624672.0;17.0
Music                ;wonder;2162749.0;18342.0;227648.0;17624672.0;17.0
Music                ;èµ·;2162749.0;18342.0;227648.0;17624672.0;17.0
Lifestyle            ;broke;2032463.0;101678.0;320194.0;33627806.0;9.0
Science & Politics   ;suicide;1970266.0;487820.0;647524.0;23742391.0;7.0
Science & Politics   ;tomorrow;1970266.0;487820.0;647524.0;23742391.0;7.0
Music                ;ë°©íƒ„ì†œë…„ë‹¨;1940960.0;32917.0;285872.0;24676016.0;7.0
Music                ;extended;1817699.0;11949.0;156793.0;12709520.0;13.0
Music                ;fake;1674511.0;38500.0;264140.0;25545399.0;7.0
Music                ;comeback;1635954.0;15659.0;202132.0;17578055.0;6.0
Entertainment        ;shape;1553495.0;821673.0;406172.0;74860356.0;8.0
Entertainment        ;sorry;1402578.0;1674420.0;1361580.0;37539570.0;7.0
Music                ;drop;1362584.0;17333.0;217840.0;14537723.0;5.0
Music                ;mic;1362584.0;17333.0;217840.0;14537723.0;5.0
Music                ;bts;1196759.0;18893.0;166953.0;14862619.0;7.0
Music                ;airplane;1177619.0;6569.0;106267.0;8789061.0;8.0
Music                ;finesse;1109177.0;42344.0;76075.0;34016054.0;5.0
Entertainment        ;rewind;1077492.0;553434.0;275569.0;51862231.0;6.0
Music                ;choreography;1042562.0;3664.0;65997.0;7683253.0;4.0
Sports               ;encontro;1042192.0;3612.0;79844.0;5163756.0;3.0
Sports               ;fred;1042192.0;3612.0;79844.0;5163756.0;3.0
Sports               ;grande;1042192.0;3612.0;79844.0;5163756.0;3.0
Music                ;got7;1036693.0;10869.0;213764.0;25757299.0;15.0
Music                ;andrea;1025895.0;17572.0;40899.0;27350528.0;7.0
Music                ;bocelli;1025895.0;17572.0;40899.0;27350528.0;7.0
Music                ;symphony;1025895.0;17572.0;40899.0;27350528.0;7.0
Music                ;shininâ€™;1021328.0;2716.0;117897.0;7200045.0;6.0
Music                ;ë¹›ì?´;1021328.0;2716.0;117897.0;7200045.0;6.0
Music                ;ë‚˜;1021328.0;2716.0;117897.0;7200045.0;6.0
Music                ;ì¢…í˜„;1021328.0;2716.0;117897.0;7200045.0;6.0
Music                ;bunny;1018785.0;48090.0;68790.0;20723565.0;2.0
Sports               ;life;1017919.0;15066.0;51282.0;29090799.0;8.0
Music                ;natasha;991997.0;83378.0;60252.0;54130637.0;10.0
Music                ;natti;991997.0;83378.0;60252.0;54130637.0;10.0
Music                ;pijama;991997.0;83378.0;60252.0;54130637.0;10.0
Music                ;aoki;990346.0;14722.0;160514.0;11751571.0;6.0
Music                ;steve;990346.0;14722.0;160514.0;11751571.0;6.0
Music                ;happier;945882.0;20399.0;53440.0;16809675.0;3.0
Music                ;mv;938827.0;24652.0;146071.0;17294263.0;8.0
Music                ;zayn;938481.0;23932.0;60599.0;28938857.0;13.0
Music                ;gorillaz;911150.0;30130.0;78492.0;25016614.0;14.0
Music                ;humility;911150.0;30130.0;78492.0;25016614.0;14.0
Entertainment        ;nintendo;879532.0;17542.0;157166.0;12018779.0;9.0
Entertainment        ;odyssey;879532.0;17542.0;157166.0;12018779.0;9.0
Music                ;teaser;868299.0;6516.0;74296.0;6752817.0;4.0
Music                ;youth;867305.0;7688.0;40794.0;32079687.0;20.0
Music                ;la;866893.0;39351.0;48715.0;34450276.0;31.0
Theater & Animation  ;anitta;865679.0;25934.0;45223.0;17758014.0;7.0
Theater & Animation  ;balvin;865679.0;25934.0;45223.0;17758014.0;7.0
Theater & Animation  ;j;865679.0;25934.0;45223.0;17758014.0;7.0
Theater & Animation  ;juanpa;865679.0;25934.0;45223.0;17758014.0;7.0
Theater & Animation  ;zurita;865679.0;25934.0;45223.0;17758014.0;7.0
Music                ;marinero;853193.0;61049.0;48391.0;59877217.0;25.0
Theater & Animation  ;bieber;825258.0;15353.0;60709.0;29178096.0;18.0
Theater & Animation  ;electronica;825258.0;15353.0;60709.0;29178096.0;18.0
Theater & Animation  ;jay;825258.0;15353.0;60709.0;29178096.0;18.0
Theater & Animation  ;poo;825258.0;15353.0;60709.0;29178096.0;18.0
Theater & Animation  ;gomez;817504.0;15348.0;38424.0;40205404.0;21.0
Theater & Animation  ;selena;817504.0;15348.0;38424.0;40205404.0;21.0
Music                ;prã©stamo;815369.0;71494.0;35945.0;87264467.0;16.0
Music                ;gods;809476.0;18295.0;66540.0;19586636.0;11.0
Music                ;sheeran;802977.0;22070.0;46630.0;20791256.0;5.0
Entertainment        ;medicine;800784.0;10683.0;129289.0;17404158.0;20.0
Entertainment        ;naija;800784.0;10683.0;129289.0;17404158.0;20.0
Music                ;ì—‘ì†œ;782030.0;9905.0;90039.0;5739252.0;3.0
Entertainment        ;29th;778513.0;30866.0;76944.0;40714581.0;15.0
Entertainment        ;releasing;778513.0;30866.0;76944.0;40714581.0;15.0
Sports               ;boomerang;774174.0;13302.0;33708.0;18858879.0;5.0
Entertainment        ;hirani;769819.0;30189.0;61846.0;41346474.0;10.0
Entertainment        ;kapoor;769819.0;30189.0;61846.0;41346474.0;10.0
Entertainment        ;rajkumar;769819.0;30189.0;61846.0;41346474.0;10.0
Entertainment        ;ranbir;769819.0;30189.0;61846.0;41346474.0;10.0
Entertainment        ;sanju;769819.0;30189.0;61846.0;41346474.0;10.0
Music                ;maluma;759712.0;82904.0;54690.0;55985323.0;15.0
Music                ;left;743970.0;26478.0;59891.0;20342328.0;6.0
Music                ;tears;743970.0;26478.0;59891.0;20342328.0;6.0
Music                ;ver;743283.0;7891.0;67728.0;6488492.0;8.0
Music                ;yourself;735782.0;13233.0;91785.0;8329297.0;11.0
Music                ;aap;728696.0;43049.0;43541.0;45938392.0;14.0
Music                ;belly;728696.0;43049.0;43541.0;45938392.0;14.0
Music                ;limit;728696.0;43049.0;43541.0;45938392.0;14.0
Music                ;rocky;728696.0;43049.0;43541.0;45938392.0;14.0
Lifestyle            ;speechless;711348.0;6636.0;193355.0;7935379.0;9.0
Music                ;idgaf;699927.0;17129.0;30123.0;14947464.0;4.0
Music                ;delicate;689238.0;39668.0;57027.0;24743827.0;12.0
Music                ;ed;669492.0;18408.0;38883.0;17388140.0;6.0
Theater & Animation  ;lyric;660480.0;14275.0;38929.0;22018271.0;13.0
Sports               ;shots;651438.0;11152.0;37003.0;18713698.0;9.0
Sports               ;trick;651438.0;11152.0;37003.0;18713698.0;9.0
Music                ;remix;645267.0;16428.0;77524.0;14514797.0;7.0
Music                ;short;635452.0;10339.0;79385.0;6217292.0;6.0
Music                ;game;632299.0;34706.0;50776.0;15421228.0;7.0
Music                ;hey;630748.0;124483.0;61945.0;25444287.0;11.0
Music                ;river;623742.0;14016.0;36798.0;17030014.0;8.0
Sports               ;soccer;615180.0;8629.0;33298.0;16574966.0;9.0
Music                ;exo;613005.0;7559.0;67899.0;5297394.0;4.0
Music                ;shakira;610574.0;116170.0;79735.0;20814284.0;5.0
Music                ;trap;610574.0;116170.0;79735.0;20814284.0;5.0
Music                ;boomerang;608885.0;22017.0;79728.0;11989960.0;12.0
Music                ;wanna;608885.0;22017.0;79728.0;11989960.0;12.0
Music                ;ë¶€ë©”ëž‘;608885.0;22017.0;79728.0;11989960.0;12.0
Music                ;ì›œë„ˆì›?;608885.0;22017.0;79728.0;11989960.0;12.0
Music                ;love;606005.0;14726.0;80449.0;11376802.0;9.0
Lifestyle            ;10minute;605954.0;5722.0;26319.0;9233435.0;11.0
Lifestyle            ;rihannas;605954.0;5722.0;26319.0;9233435.0;11.0
Music                ;friendzone;592538.0;7293.0;29404.0;15208321.0;9.0
Music                ;peekaboo;591776.0;18790.0;63191.0;12969561.0;7.0
Music                ;í”¼ì¹´ë¶€;591776.0;18790.0;63191.0;12969561.0;7.0
Music                ;hielo;581378.0;38243.0;36509.0;28851415.0;13.0
Music                ;oficial;581378.0;38243.0;36509.0;28851415.0;13.0
Music                ;party;578930.0;13408.0;27821.0;16553973.0;10.0
Music                ;pump;578930.0;13408.0;27821.0;16553973.0;10.0
Music                ;zhavia;578930.0;13408.0;27821.0;16553973.0;10.0
Music                ;demi;577847.0;20479.0;32197.0;20087312.0;9.0
Music                ;lovato;577847.0;20479.0;32197.0;20087312.0;9.0
Music                ;perfect;577807.0;9985.0;28051.0;16100891.0;6.0
Music                ;zacari;577712.0;10568.0;34480.0;12730630.0;5.0
Music                ;future;572081.0;29494.0;44601.0;15190524.0;8.0
Music                ;pt2;571108.0;1976.0;32400.0;5414339.0;3.0
Music                ;twice;569850.0;48035.0;87027.0;24840048.0;9.0
Music                ;bruno;564774.0;22000.0;39012.0;17487066.0;5.0
Music                ;ashes;564493.0;12675.0;34246.0;27039153.0;26.0
Music                ;cã©line;564493.0;12675.0;34246.0;27039153.0;26.0
Music                ;deadpool;564493.0;12675.0;34246.0;27039153.0;26.0
Music                ;dion;564493.0;12675.0;34246.0;27039153.0;26.0
Science & Politics   ;solved;564046.0;33508.0;180469.0;42667467.0;15.0
Music                ;him;560637.0;8596.0;23365.0;14860998.0;7.0
Entertainment        ;track;559639.0;70821.0;90405.0;10407373.0;6.0
Theater & Animation  ;bear;558755.0;10418.0;39136.0;17642455.0;16.0
Music                ;entertainer;556645.0;14121.0;35488.0;13095486.0;8.0
Music                ;familiar;554509.0;18381.0;21650.0;42390420.0;25.0
Music                ;walk;553355.0;30598.0;64368.0;15327962.0;8.0
Music                ;water;553355.0;30598.0;64368.0;15327962.0;8.0
Music                ;beyoncã©;552251.0;26063.0;51732.0;17602462.0;8.0
Music                ;winner;548563.0;11180.0;53665.0;15552885.0;17.0
Music                ;â€˜everydayâ€™;548563.0;11180.0;53665.0;15552885.0;17.0
Music                ;shaker;547554.0;50105.0;84008.0;22559408.0;6.0
Sports               ;cristiano;537087.0;2149.0;40912.0;3705938.0;3.0
Music                ;velvet;535516.0;14157.0;60968.0;8822450.0;5.0
Music                ;ë ˆë“œë²¨ë²³;535516.0;14157.0;60968.0;8822450.0;5.0
Music                ;ariana;532257.0;17994.0;42878.0;13814110.0;4.0
Music                ;grande;532257.0;17994.0;42878.0;13814110.0;4.0
Music                ;eminem;530018.0;25608.0;58281.0;14301517.0;7.0
Music                ;sin;529612.0;42426.0;32449.0;27814752.0;8.0
Music                ;electric;528493.0;6387.0;56830.0;5076465.0;4.0
Theater & Animation  ;brands;527481.0;4861.0;18323.0;6225124.0;13.0
Theater & Animation  ;greatliza;527481.0;4861.0;18323.0;6225124.0;13.0
Theater & Animation  ;thrifting;527481.0;4861.0;18323.0;6225124.0;13.0
Science & Politics   ;here;527189.0;123947.0;166296.0;7302475.0;5.0
Music                ;weeknd;525635.0;11647.0;25849.0;25386947.0;7.0
Music                ;nervous;518240.0;5215.0;34466.0;4986664.0;3.0
Music                ;bad;514413.0;19133.0;46003.0;9800205.0;7.0
Music                ;duet;514203.0;11434.0;25893.0;18443388.0;7.0
Music                ;jonghyun;513652.0;1360.0;59167.0;3621821.0;7.0
Music                ;daddy;509924.0;22499.0;32844.0;17973246.0;9.0
Music                ;yankee;509924.0;22499.0;32844.0;17973246.0;9.0
Entertainment        ;diss;507247.0;70217.0;88123.0;9723071.0;7.0
Music                ;beautiful;504791.0;21898.0;34879.0;21545253.0;9.0
Music                ;trauma;504791.0;21898.0;34879.0;21545253.0;9.0
Music                ;nice;497639.0;17094.0;27837.0;30321347.0;12.0
Entertainment        ;logan;490441.0;92365.0;133335.0;8140957.0;5.0
Music                ;drake;485511.0;15077.0;34917.0;21717008.0;10.0
Entertainment        ;venom;485196.0;23089.0;56041.0;22680054.0;7.0
Music                ;balvin;482077.0;19852.0;27691.0;20137226.0;9.0
Music                ;trailer;481956.0;5332.0;64359.0;5360958.0;7.0
Music                ;end;481681.0;26045.0;38549.0;11667804.0;6.0
Sports               ;dude;480226.0;11559.0;30593.0;15553089.0;9.0
Sports               ;lego;479898.0;22610.0;42478.0;19412787.0;9.0
Sports               ;walk;479898.0;22610.0;42478.0;19412787.0;9.0
Music                ;sister;479666.0;9690.0;29516.0;10698770.0;10.0
Music                ;japan;479433.0;4369.0;27044.0;8419328.0;8.0
Music                ;lost;479433.0;4369.0;27044.0;8419328.0;8.0
Music                ;plan;478104.0;11405.0;36794.0;12373200.0;9.0
Music                ;ikon;477422.0;4610.0;55392.0;7753675.0;6.0
Music                ;scenarioâ€™;477422.0;4610.0;55392.0;7753675.0;6.0
Music                ;â€˜ì‚¬ëž‘ì?„;477422.0;4610.0;55392.0;7753675.0;6.0
Music                ;í–ˆë‹¤love;477422.0;4610.0;55392.0;7753675.0;6.0
Music                ;cry;469200.0;16726.0;36496.0;13655436.0;11.0
Lifestyle            ;angry;468617.0;5747.0;137277.0;5371376.0;6.0
Music                ;dua;467331.0;14620.0;17201.0;21988309.0;10.0
Music                ;lipa;467331.0;14620.0;17201.0;21988309.0;10.0
Music                ;chunli;459131.0;43252.0;48496.0;18846420.0;14.0
Entertainment        ;pancake;452507.0;10831.0;83538.0;6873842.0;6.0
Theater & Animation  ;free;452265.0;4850.0;24206.0;5613554.0;5.0
Theater & Animation  ;graduated;452265.0;4850.0;24206.0;5613554.0;5.0
Sports               ;old;441898.0;9947.0;38539.0;13782417.0;10.0
Sports               ;school;441898.0;9947.0;38539.0;13782417.0;10.0
Music                ;fifty;441321.0;8366.0;20211.0;11595277.0;5.0
Music                ;freed;441321.0;8366.0;20211.0;11595277.0;5.0
Music                ;ora;441321.0;8366.0;20211.0;11595277.0;5.0
Music                ;rita;441321.0;8366.0;20211.0;11595277.0;5.0
Music                ;shades;441321.0;8366.0;20211.0;11595277.0;5.0
Theater & Animation  ;olympics;440650.0;19239.0;48269.0;34269048.0;10.0
Theater & Animation  ;peek;440650.0;19239.0;48269.0;34269048.0;10.0
Theater & Animation  ;sneak;440650.0;19239.0;48269.0;34269048.0;10.0
Theater & Animation  ;downtown;433154.0;13005.0;22632.0;8897195.0;5.0
Music                ;color;433074.0;25366.0;22069.0;19150418.0;19.0
Music                ;xan;433074.0;25366.0;22069.0;19150418.0;19.0
Lifestyle            ;felix;431977.0;4851.0;37666.0;4884193.0;25.0
Lifestyle            ;marzia;431977.0;4851.0;37666.0;4884193.0;25.0
Lifestyle            ;ðÿ’?;431977.0;4851.0;37666.0;4884193.0;25.0
Theater & Animation  ;fanfilm;430160.0;18357.0;31889.0;10083696.0;7.0
Theater & Animation  ;heir;430160.0;18357.0;31889.0;10083696.0;7.0
Theater & Animation  ;origins;430160.0;18357.0;31889.0;10083696.0;7.0
Theater & Animation  ;subtitles;430160.0;18357.0;31889.0;10083696.0;7.0
Theater & Animation  ;unofficial;430160.0;18357.0;31889.0;10083696.0;7.0
Theater & Animation  ;voldemort;430160.0;18357.0;31889.0;10083696.0;7.0
