category_title;word;channel_title;count
Sports               ;espn;ESPN                                   ;84
Entertainment        ;netflix;Netflix                                ;58
Entertainment        ;hd;Netflix                                ;48
Entertainment        ;trailer;Netflix                                ;39
Lifestyle            ;refinery29;Refinery29                             ;39
Sports               ;nfl;NFL                                    ;36
Entertainment        ;official;Netflix                                ;35
Entertainment        ;snl;Saturday Night Live                    ;35
Sports               ;first;ESPN                                   ;35
Sports               ;take;ESPN                                   ;33
Sports               ;stephen;ESPN                                   ;31
Sports               ;highlights;NFL                                    ;30
Sports               ;2018;NBA                                    ;24
Sports               ;top;NBA                                    ;24
Entertainment        ;react;FBE                                    ;23
Theater & Animation  ;honest;Screen Junkies                         ;23
Theater & Animation  ;trailers;Screen Junkies                         ;23
Sports               ;plays;NBA                                    ;22
Entertainment        ;fair;Vanity Fair                            ;21
Entertainment        ;trailer;Warner Bros. Pictures                  ;21
Entertainment        ;vanity;Vanity Fair                            ;21
Entertainment        ;wwhl;Watch What Happens Live with Andy Cohen;21
Science & Politics   ;nbc;NBC News                               ;21
Science & Politics   ;news;NBC News                               ;21
Sports               ;2018;WWE                                    ;21
Sports               ;vs;NFL                                    ;21
Science & Politics   ;today;TODAY                                  ;20
Entertainment        ;ellen;TheEllenShow                           ;19
Sports               ;night;NBA                                    ;19
Entertainment        ;voice;The Voice                              ;18
Lifestyle            ;dodo;The Dodo                               ;18
Sports               ;raw;WWE                                    ;18
Entertainment        ;diy;HellthyJunkFood                        ;17
Entertainment        ;official;Warner Bros. Pictures                  ;17
Science & Politics   ;bbc;BBC News                               ;17
Science & Politics   ;news;BBC News                               ;17
Sports               ;game;NFL                                    ;17
Lifestyle            ;hot;First We Feast                         ;16
Science & Politics   ;why;Vox                                    ;16
Sports               ;james;ESPN                                   ;16
Sports               ;lebron;ESPN                                   ;16
Entertainment        ;graham;The Graham Norton Show                 ;15
Entertainment        ;movie;ColliderVideos                         ;15
Entertainment        ;norton;The Graham Norton Show                 ;15
Entertainment        ;season;Netflix                                ;15
Entertainment        ;show;The Graham Norton Show                 ;15
Lifestyle            ;bon;Bon AppÃ©tit                           ;15
Lifestyle            ;ones;First We Feast                         ;15
Sports               ;10;NBA                                    ;15
Sports               ;game;ESPN                                   ;15
Entertainment        ;star;Star Wars                              ;14
Entertainment        ;wars;Star Wars                              ;14
Entertainment        ;wired;WIRED                                  ;14
Lifestyle            ;appã©tit;Bon AppÃ©tit                           ;14
Lifestyle            ;spicy;First We Feast                         ;14
Sports               ;week;NFL                                    ;14
Theater & Animation  ;conan;Team Coco                              ;14
Theater & Animation  ;everything;CinemaSins                             ;14
Theater & Animation  ;tbs;Team Coco                              ;14
Theater & Animation  ;wrong;CinemaSins                             ;14
Theater & Animation  ;yiay;jacksfilms                             ;14
Entertainment        ;2018;American Idol                          ;13
Entertainment        ;american;American Idol                          ;13
Entertainment        ;battle;Lip Sync Battle                        ;13
Entertainment        ;idol;American Idol                          ;13
Entertainment        ;lip;Lip Sync Battle                        ;13
Entertainment        ;sync;Lip Sync Battle                        ;13
Entertainment        ;talk;ColliderVideos                         ;13
Lifestyle            ;vs;BuzzFeedVideo                          ;13
Lifestyle            ;wings;First We Feast                         ;13
Sports               ;nba;NBA                                    ;13
Entertainment        ;abc;American Idol                          ;12
Entertainment        ;marvel;Marvel Entertainment                   ;12
Entertainment        ;react;REACT                                  ;12
Entertainment        ;trailer;Universal Pictures                     ;12
Lifestyle            ;cat;Simon's Cat                            ;12
Lifestyle            ;grace;Grace Helbig                           ;12
Lifestyle            ;helbig;Grace Helbig                           ;12
Lifestyle            ;simons;Simon's Cat                            ;12
Science & Politics   ;time;TIME                                   ;12
Sports               ;nba;ESPN                                   ;12
Theater & Animation  ;20th;20th Century Fox                       ;12
Theater & Animation  ;century;20th Century Fox                       ;12
Theater & Animation  ;film;The Film Theorists                     ;12
Theater & Animation  ;fox;20th Century Fox                       ;12
Theater & Animation  ;hbo;HBO                                    ;12
Theater & Animation  ;jimmy;The Tonight Show Starring Jimmy Fallon ;12
Theater & Animation  ;theory;The Film Theorists                     ;12
Entertainment        ;2018;The Voice                              ;11
Entertainment        ;complex;Complex                                ;11
Entertainment        ;questions;WIRED                                  ;11
Entertainment        ;sneaker;Complex                                ;11
Entertainment        ;studios;Marvel Entertainment                   ;11
Entertainment        ;tmz;TMZ                                    ;11
Entertainment        ;vogue;Vogue                                  ;11
Lifestyle            ;beauty;Refinery29                             ;11
Lifestyle            ;vogue;Vogue                                  ;11
Sports               ;2018;NBC Sports                             ;11
Sports               ;dude;Dude Perfect                           ;11
Sports               ;nbc;NBC Sports                             ;11
Sports               ;perfect;Dude Perfect                           ;11
Sports               ;sports;NBC Sports                             ;11
Sports               ;wwe;WWE                                    ;11
Theater & Animation  ;cyanide;ExplosmEntertainment                   ;11
Theater & Animation  ;ever;Smosh                                  ;11
Theater & Animation  ;every;Smosh                                  ;11
Theater & Animation  ;hannah;Hannah Stocking                        ;11
Theater & Animation  ;happiness;ExplosmEntertainment                   ;11
Theater & Animation  ;stocking;Hannah Stocking                        ;11
Entertainment        ;babish;Binging with Babish                    ;10
Entertainment        ;goes;Complex                                ;10
Entertainment        ;hd;Universal Pictures                     ;10
Entertainment        ;john;John Campea                            ;10
Entertainment        ;kuwtk;E! Entertainment                       ;10
Entertainment        ;most;WIRED                                  ;10
Entertainment        ;searched;WIRED                                  ;10
Entertainment        ;shopping;Complex                                ;10
Entertainment        ;show;John Campea                            ;10
Entertainment        ;trailer;Sony Pictures Entertainment            ;10
Entertainment        ;w;The Late Late Show with James Corden   ;10
Entertainment        ;webs;WIRED                                  ;10
Lifestyle            ;cooking;You Suck At Cooking                    ;10
Lifestyle            ;episode;You Suck At Cooking                    ;10
Lifestyle            ;suck;You Suck At Cooking                    ;10
Sports               ;james;NBA                                    ;10
Sports               ;smith;ESPN                                   ;10
Sports               ;sportscenter;ESPN                                   ;10
Sports               ;vs;ESPN                                   ;10
Theater & Animation  ;daily;The Daily Show with Trevor Noah        ;10
Theater & Animation  ;lele;Lele Pons                              ;10
Theater & Animation  ;less;CinemaSins                             ;10
Theater & Animation  ;minutes;CinemaSins                             ;10
Theater & Animation  ;pons;Lele Pons                              ;10
Theater & Animation  ;show;The Daily Show with Trevor Noah        ;10
Entertainment        ;2018;Britain's Got Talent                   ;9
Entertainment        ;answers;WIRED                                  ;9
Entertainment        ;campea;John Campea                            ;9
Entertainment        ;hd;Sony Pictures Entertainment            ;9
Entertainment        ;official;Sony Pictures Entertainment            ;9
Entertainment        ;preview;Lip Sync Battle                        ;9
Entertainment        ;sings;American Idol                          ;9
Entertainment        ;sju;ScreenJunkies News                     ;9
Entertainment        ;slow;The Slow Mo Guys                       ;9
Entertainment        ;stephen;The Late Show with Stephen Colbert     ;9
Gaming               ;nintendo;Nintendo                               ;9
Lifestyle            ;act;Full Frontal with Samantha Bee         ;9
Lifestyle            ;eating;First We Feast                         ;9
Lifestyle            ;food;First We Feast                         ;9
Lifestyle            ;frontal;Full Frontal with Samantha Bee         ;9
Lifestyle            ;full;Full Frontal with Samantha Bee         ;9
Lifestyle            ;makes;Bon AppÃ©tit                           ;9
Lifestyle            ;tbs;Full Frontal with Samantha Bee         ;9
Music                ;charlie;Charlie Puth                           ;9
Music                ;puth;Charlie Puth                           ;9
Sports               ;2017;WWE                                    ;9
Sports               ;5;NBA                                    ;9
Sports               ;lebron;NBA                                    ;9
Theater & Animation  ;bad;Bad Lip Reading                        ;9
Theater & Animation  ;closer;Late Night with Seth Meyers            ;9
Theater & Animation  ;ft;IISuperwomanII                         ;9
Theater & Animation  ;hart;LOL Network                            ;9
Theater & Animation  ;kevin;LOL Network                            ;9
Theater & Animation  ;laugh;LOL Network                            ;9
Theater & Animation  ;lip;Bad Lip Reading                        ;9
Theater & Animation  ;look;Late Night with Seth Meyers            ;9
Theater & Animation  ;loud;LOL Network                            ;9
Theater & Animation  ;network;LOL Network                            ;9
Theater & Animation  ;official;HBO                                    ;9
Theater & Animation  ;out;LOL Network                            ;9
Theater & Animation  ;reading;Bad Lip Reading                        ;9
Theater & Animation  ;shorts;ExplosmEntertainment                   ;9
Entertainment        ;bgt;Britain's Got Talent                   ;8
Entertainment        ;black;Netflix                                ;8
Entertainment        ;cold;Saturday Night Live                    ;8
Entertainment        ;jedi;Star Wars                              ;8
Entertainment        ;last;Star Wars                              ;8
Entertainment        ;makeup;James Charles                          ;8
Entertainment        ;mirror;Netflix                                ;8
Entertainment        ;more;Breakfast Club Power 105.1 FM          ;8
Entertainment        ;official;Universal Pictures                     ;8
Entertainment        ;open;Saturday Night Live                    ;8
Entertainment        ;taste;Good Mythical Morning                  ;8
Entertainment        ;test;Good Mythical Morning                  ;8
Entertainment        ;versus;HellthyJunkFood                        ;8
Entertainment        ;view;The View                               ;8
Entertainment        ;youtubers;FBE                                    ;8
Lifestyle            ;aina;Jackie Aina                            ;8
Lifestyle            ;cake;How To Cake It                         ;8
Lifestyle            ;jackie;Jackie Aina                            ;8
Lifestyle            ;line;The Scran Line                         ;8
Lifestyle            ;scran;The Scran Line                         ;8
Lifestyle            ;viralhog;ViralHog                               ;8
Lifestyle            ;while;First We Feast                         ;8
Music                ;mv;SMTOWN                                 ;8
Music                ;pentatonix;PTXofficial                            ;8
Science & Politics   ;gadgets;CrazyRussianHacker                     ;8
Science & Politics   ;msnbc;MSNBC                                  ;8
Sports               ;day;NBC Sports                             ;8
Sports               ;olympics;NBC Sports                             ;8
Sports               ;part;NBC Sports                             ;8
Sports               ;recap;NBC Sports                             ;8
Sports               ;winter;NBC Sports                             ;8
Theater & Animation  ;2018;HBO                                    ;8
Theater & Animation  ;fit;LOL Network                            ;8
Theater & Animation  ;trailer;20th Century Fox                       ;8
Theater & Animation  ;trailer;HBO                                    ;8
Theater & Animation  ;â€”;Bad Lip Reading                        ;8
Entertainment        ;1;Warner Bros. Pictures                  ;7
Entertainment        ;2;Netflix                                ;7
Entertainment        ;2017;The Voice                              ;7
Entertainment        ;appã©tit;Bon AppÃ©tit                           ;7
