snippet/title;title;thumbnail_link;hour_of_publish;week_day
Entertainment        ;Megan Mullally Didn't Notice the Interesting Pattern with Ellen's Roommates                         ;https://i.ytimg.com/vi/-0NYY8cqdiQ/default.jpg       ;14                                                                                                  ;2
Lifestyle            ;YOUTUBER QUIZ + TRUTH OR DARE W/ THE MERRELL TWINS!                                                 ;https://i.ytimg.com/vi/-1yT-K3c6YI/default.jpg       ;18                                                                                                  ;3
Science & Politics   ;Ex-UFO program chief: We may not be alone                                                           ;https://i.ytimg.com/vi/-2b4qSoMnKE/default.jpg       ;20                                                                                                  ;3
Sports               ;Top 10 Moments of the NBA All-Star Celebrity Game                                                   ;https://i.ytimg.com/vi/-2wRFv-mScQ/default.jpg       ;01                                                                                                  ;3
Sports               ;Christmas Day 2000                                                                                  ;https://i.ytimg.com/vi/-37nIo_tLnk/default.jpg       ;23                                                                                                  ;3
Science & Politics   ;Why Atlantic fish are invading the Arctic                                                           ;https://i.ytimg.com/vi/-3h4Xt9No9o/default.jpg       ;12                                                                                                  ;2
Science & Politics   ;The Weirdest Mystery Tech Yet...                                                                    ;https://i.ytimg.com/vi/-4s2MeUgduo/default.jpg       ;15                                                                                                  ;3
Entertainment        ;CAN PARENTS GUESS WHAT THEIR KID DOES WITH 100 DOLLARS? Ep. # 3                                     ;https://i.ytimg.com/vi/-66xHRJSPxs/default.jpg       ;21                                                                                                  ;2
Theater & Animation  ;Teen Romance is Too Dramatic                                                                        ;https://i.ytimg.com/vi/-7AZX5Xtiks/default.jpg       ;17                                                                                                  ;3
Sports               ;2018 Winter Olympics Recap Day 10 I Part 1 I NBC Sports                                             ;https://i.ytimg.com/vi/-8ZHXaGILlc/default.jpg       ;11                                                                                                  ;2
Music                ;Stampede - Alexander Jean Ft. Lindsey Stirling                                                      ;https://i.ytimg.com/vi/-9rdDeWzvsU/default.jpg       ;16                                                                                                  ;4
Entertainment        ;Clip: Why President Obama stays in the pocket with his dad moves [HD] | Netflix                     ;https://i.ytimg.com/vi/-a12nTEcoqE/default.jpg       ;20                                                                                                  ;4
Music                ;Kylie Minogue - Dancing (Official Video)                                                            ;https://i.ytimg.com/vi/-BDImdAfodA/default.jpg       ;08                                                                                                  ;5
Entertainment        ;Will It Christmas Tree?                                                                             ;https://i.ytimg.com/vi/-C5q3oir8gA/default.jpg       ;11                                                                                                  ;2
Lifestyle            ;Michelob Sport Super Bowl Commercial                                                                ;https://i.ytimg.com/vi/-cQoGwpDBPs/default.jpg       ;18                                                                                                  ;5
Music                ;Gallant - Doesn't Matter (Official Video)                                                           ;https://i.ytimg.com/vi/-e-xXN-tcFU/default.jpg       ;14                                                                                                  ;3
Theater & Animation  ;The Best Movie Hell to End Up In - After Hours                                                      ;https://i.ytimg.com/vi/-El8z4uy5Ac/default.jpg       ;17                                                                                                  ;2
Lifestyle            ;Confrontation Between Lifeguard, Bodysurfer Caught On Camera In Redondo Beach Goes Viral            ;https://i.ytimg.com/vi/-hg9t3PdhFE/default.jpg       ;16                                                                                                  ;3
Lifestyle            ;DIY Pallet Swingers, Corinne VS Pin                                                                 ;https://i.ytimg.com/vi/-hI5Ds3IgVM/default.jpg       ;18                                                                                                  ;1
