day;hour;category_title;count
1;00                                                                                                  ;Lifestyle            ;2
1;00                                                                                                  ;Sports               ;1
1;00                                                                                                  ;Theater & Animation  ;1
1;01                                                                                                  ;Entertainment        ;1
1;01                                                                                                  ;Lifestyle            ;1
1;01                                                                                                  ;Music                ;1
1;01                                                                                                  ;Science & Politics   ;1
1;01                                                                                                  ;Sports               ;1
1;02                                                                                                  ;Entertainment        ;1
1;02                                                                                                  ;Sports               ;1
1;03                                                                                                  ;Lifestyle            ;1
1;03                                                                                                  ;Science & Politics   ;1
1;03                                                                                                  ;Sports               ;1
1;04                                                                                                  ;Entertainment        ;1
1;04                                                                                                  ;Music                ;1
1;04                                                                                                  ;Science & Politics   ;3
1;04                                                                                                  ;Sports               ;2
1;05                                                                                                  ;Entertainment        ;2
1;05                                                                                                  ;Lifestyle            ;1
1;05                                                                                                  ;Sports               ;1
1;06                                                                                                  ;Entertainment        ;1
1;06                                                                                                  ;Science & Politics   ;1
1;06                                                                                                  ;Sports               ;1
1;07                                                                                                  ;Entertainment        ;2
1;07                                                                                                  ;Music                ;1
1;07                                                                                                  ;Sports               ;1
1;08                                                                                                  ;Entertainment        ;1
1;08                                                                                                  ;Lifestyle            ;1
1;08                                                                                                  ;Sports               ;1
1;09                                                                                                  ;Lifestyle            ;2
1;10                                                                                                  ;Lifestyle            ;1
1;11                                                                                                  ;Entertainment        ;1
1;11                                                                                                  ;Lifestyle            ;1
1;12                                                                                                  ;Science & Politics   ;3
1;12                                                                                                  ;Sports               ;1
1;13                                                                                                  ;Entertainment        ;1
1;13                                                                                                  ;Lifestyle            ;1
1;13                                                                                                  ;Music                ;1
1;13                                                                                                  ;Science & Politics   ;1
1;13                                                                                                  ;Sports               ;1
1;13                                                                                                  ;Theater & Animation  ;1
1;14                                                                                                  ;Entertainment        ;2
1;14                                                                                                  ;Science & Politics   ;3
1;14                                                                                                  ;Theater & Animation  ;1
1;15                                                                                                  ;Entertainment        ;2
1;15                                                                                                  ;Lifestyle            ;6
1;15                                                                                                  ;Science & Politics   ;4
1;16                                                                                                  ;Entertainment        ;2
1;16                                                                                                  ;Lifestyle            ;4
1;16                                                                                                  ;Science & Politics   ;2
1;16                                                                                                  ;Sports               ;1
1;16                                                                                                  ;Theater & Animation  ;1
1;17                                                                                                  ;Entertainment        ;2
1;17                                                                                                  ;Lifestyle            ;2
1;17                                                                                                  ;Music                ;1
1;17                                                                                                  ;Science & Politics   ;3
1;17                                                                                                  ;Sports               ;1
1;17                                                                                                  ;Theater & Animation  ;2
1;18                                                                                                  ;Entertainment        ;4
1;18                                                                                                  ;Gaming               ;1
1;18                                                                                                  ;Lifestyle            ;2
1;18                                                                                                  ;Science & Politics   ;2
1;18                                                                                                  ;Sports               ;2
1;18                                                                                                  ;Theater & Animation  ;2
1;19                                                                                                  ;Entertainment        ;2
1;19                                                                                                  ;Gaming               ;1
1;19                                                                                                  ;Lifestyle            ;1
1;19                                                                                                  ;Music                ;1
1;19                                                                                                  ;Science & Politics   ;3
1;19                                                                                                  ;Theater & Animation  ;1
1;20                                                                                                  ;Entertainment        ;1
1;20                                                                                                  ;Lifestyle            ;2
1;20                                                                                                  ;Theater & Animation  ;1
1;21                                                                                                  ;Entertainment        ;3
1;21                                                                                                  ;Lifestyle            ;2
1;21                                                                                                  ;Science & Politics   ;3
1;21                                                                                                  ;Theater & Animation  ;1
1;22                                                                                                  ;Entertainment        ;1
1;22                                                                                                  ;Lifestyle            ;2
1;23                                                                                                  ;Entertainment        ;2
1;23                                                                                                  ;Lifestyle            ;2
1;23                                                                                                  ;Science & Politics   ;1
1;23                                                                                                  ;Theater & Animation  ;2
2;00                                                                                                  ;Entertainment        ;2
2;00                                                                                                  ;Lifestyle            ;5
2;00                                                                                                  ;Science & Politics   ;1
2;00                                                                                                  ;Sports               ;3
2;00                                                                                                  ;Theater & Animation  ;1
2;01                                                                                                  ;Entertainment        ;3
2;01                                                                                                  ;Lifestyle            ;2
2;01                                                                                                  ;Music                ;1
2;01                                                                                                  ;Science & Politics   ;1
2;01                                                                                                  ;Sports               ;2
2;01                                                                                                  ;Theater & Animation  ;1
2;02                                                                                                  ;Entertainment        ;3
2;02                                                                                                  ;Gaming               ;1
2;02                                                                                                  ;Lifestyle            ;1
2;02                                                                                                  ;Sports               ;1
2;03                                                                                                  ;Entertainment        ;5
2;03                                                                                                  ;Music                ;2
2;03                                                                                                  ;Sports               ;1
2;04                                                                                                  ;Entertainment        ;2
2;04                                                                                                  ;Music                ;1
2;04                                                                                                  ;Sports               ;2
2;05                                                                                                  ;Entertainment        ;2
2;05                                                                                                  ;Lifestyle            ;1
2;05                                                                                                  ;Music                ;2
2;05                                                                                                  ;Science & Politics   ;2
2;05                                                                                                  ;Sports               ;1
2;06                                                                                                  ;Entertainment        ;2
2;06                                                                                                  ;Lifestyle            ;1
2;06                                                                                                  ;Theater & Animation  ;1
2;07                                                                                                  ;Entertainment        ;1
2;07                                                                                                  ;Lifestyle            ;1
2;07                                                                                                  ;Science & Politics   ;1
2;08                                                                                                  ;Lifestyle            ;2
2;08                                                                                                  ;Science & Politics   ;1
2;09                                                                                                  ;Lifestyle            ;1
2;09                                                                                                  ;Music                ;2
2;10                                                                                                  ;Entertainment        ;3
2;10                                                                                                  ;Lifestyle            ;1
2;11                                                                                                  ;Entertainment        ;2
2;11                                                                                                  ;Lifestyle            ;2
2;11                                                                                                  ;Music                ;1
2;11                                                                                                  ;Science & Politics   ;1
2;11                                                                                                  ;Theater & Animation  ;1
2;12                                                                                                  ;Entertainment        ;1
2;12                                                                                                  ;Music                ;1
2;13                                                                                                  ;Entertainment        ;6
2;13                                                                                                  ;Lifestyle            ;1
2;13                                                                                                  ;Science & Politics   ;4
2;13                                                                                                  ;Theater & Animation  ;2
2;14                                                                                                  ;Entertainment        ;5
2;14                                                                                                  ;Lifestyle            ;5
2;14                                                                                                  ;Music                ;3
2;14                                                                                                  ;Science & Politics   ;7
2;14                                                                                                  ;Sports               ;2
2;14                                                                                                  ;Theater & Animation  ;2
2;15                                                                                                  ;Entertainment        ;5
2;15                                                                                                  ;Gaming               ;1
2;15                                                                                                  ;Lifestyle            ;3
2;15                                                                                                  ;Music                ;2
2;15                                                                                                  ;Science & Politics   ;4
2;15                                                                                                  ;Sports               ;3
2;16                                                                                                  ;Entertainment        ;6
2;16                                                                                                  ;Lifestyle            ;3
2;16                                                                                                  ;Music                ;4
2;16                                                                                                  ;Science & Politics   ;8
2;16                                                                                                  ;Theater & Animation  ;3
2;17                                                                                                  ;Entertainment        ;5
2;17                                                                                                  ;Lifestyle            ;3
2;17                                                                                                  ;Music                ;3
2;17                                                                                                  ;Science & Politics   ;7
2;17                                                                                                  ;Sports               ;1
2;17                                                                                                  ;Theater & Animation  ;6
2;18                                                                                                  ;Entertainment        ;5
2;18                                                                                                  ;Lifestyle            ;2
2;18                                                                                                  ;Music                ;1
2;18                                                                                                  ;Science & Politics   ;2
2;18                                                                                                  ;Theater & Animation  ;4
2;19                                                                                                  ;Entertainment        ;4
2;19                                                                                                  ;Lifestyle            ;4
2;19                                                                                                  ;Music                ;1
2;19                                                                                                  ;Science & Politics   ;3
2;19                                                                                                  ;Theater & Animation  ;3
2;20                                                                                                  ;Entertainment        ;2
2;20                                                                                                  ;Lifestyle            ;3
2;20                                                                                                  ;Music                ;2
2;20                                                                                                  ;Science & Politics   ;2
2;20                                                                                                  ;Sports               ;1
2;20                                                                                                  ;Theater & Animation  ;3
2;21                                                                                                  ;Entertainment        ;1
2;21                                                                                                  ;Lifestyle            ;2
2;21                                                                                                  ;Music                ;1
2;21                                                                                                  ;Science & Politics   ;3
2;21                                                                                                  ;Sports               ;1
2;21                                                                                                  ;Theater & Animation  ;2
2;22                                                                                                  ;Entertainment        ;1
2;22                                                                                                  ;Lifestyle            ;1
2;22                                                                                                  ;Science & Politics   ;1
2;22                                                                                                  ;Theater & Animation  ;2
2;23                                                                                                  ;Entertainment        ;1
2;23                                                                                                  ;Lifestyle            ;2
2;23                                                                                                  ;Science & Politics   ;1
2;23                                                                                                  ;Sports               ;1
2;23                                                                                                  ;Theater & Animation  ;1
3;00                                                                                                  ;Entertainment        ;1
3;00                                                                                                  ;Lifestyle            ;1
3;00                                                                                                  ;Music                ;1
3;00                                                                                                  ;Science & Politics   ;2
3;00                                                                                                  ;Theater & Animation  ;1
3;01                                                                                                  ;Entertainment        ;2
3;01                                                                                                  ;Lifestyle            ;1
3;01                                                                                                  ;Science & Politics   ;1
3;01                                                                                                  ;Sports               ;2
3;01                                                                                                  ;Theater & Animation  ;1
3;02                                                                                                  ;Entertainment        ;2
3;02                                                                                                  ;Lifestyle            ;2
3;02                                                                                                  ;Theater & Animation  ;1
3;03                                                                                                  ;Entertainment        ;2
3;03                                                                                                  ;Science & Politics   ;2
3;03                                                                                                  ;Sports               ;3
3;03                                                                                                  ;Theater & Animation  ;2
3;04                                                                                                  ;Entertainment        ;2
3;04                                                                                                  ;Lifestyle            ;1
3;04                                                                                                  ;Music                ;1
3;04                                                                                                  ;Science & Politics   ;2
3;04                                                                                                  ;Sports               ;2
3;04                                                                                                  ;Theater & Animation  ;2
3;05                                                                                                  ;Entertainment        ;2
3;05                                                                                                  ;Science & Politics   ;1
3;05                                                                                                  ;Sports               ;1
