category_title;word;count
Music                ;video;244
Music                ;official;241
Entertainment        ;trailer;150
Entertainment        ;official;134
Music                ;audio;109
Entertainment        ;2018;97
Entertainment        ;hd;97
Sports               ;2018;93
Theater & Animation  ;trailer;92
Music                ;ft;90
Sports               ;espn;85
Lifestyle            ;makeup;80
Theater & Animation  ;official;78
Sports               ;vs;74
Music                ;music;72
Entertainment        ;netflix;64
Science & Politics   ;why;62
Music                ;live;61
Sports               ;highlights;61
Lifestyle            ;new;57
Entertainment        ;star;55
Music                ;lyric;55
Sports               ;game;53
Entertainment        ;season;52
Theater & Animation  ;2018;51
Science & Politics   ;news;50
Entertainment        ;2;49
Lifestyle            ;vs;49
Lifestyle            ;2018;47
Entertainment        ;wars;46
Entertainment        ;black;44
Entertainment        ;show;44
Lifestyle            ;2017;44
Entertainment        ;2017;42
Entertainment        ;movie;42
Sports               ;nba;42
Sports               ;nfl;42
Lifestyle            ;beauty;40
Sports               ;first;40
Lifestyle            ;refinery29;39
Entertainment        ;snl;38
Lifestyle            ;day;38
Entertainment        ;new;37
Entertainment        ;react;37
Lifestyle            ;make;36
Entertainment        ;last;35
Science & Politics   ;2018;35
Sports               ;stephen;35
Theater & Animation  ;hd;35
Theater & Animation  ;movie;34
Music                ;feat;33
Music                ;love;33
Sports               ;take;33
Sports               ;top;33
Entertainment        ;jedi;32
Entertainment        ;live;32
Lifestyle            ;cat;32
Science & Politics   ;new;32
Entertainment        ;john;31
Entertainment        ;teaser;31
Entertainment        ;up;31
Entertainment        ;will;31
Sports               ;james;31
Lifestyle            ;best;30
Lifestyle            ;first;30
Theater & Animation  ;trailers;30
Entertainment        ;about;29
Entertainment        ;first;29
Lifestyle            ;cake;29
Science & Politics   ;trump;29
Entertainment        ;1;28
Entertainment        ;challenge;28
Lifestyle            ;christmas;28
Lifestyle            ;food;28
Music                ;mv;28
Sports               ;10;28
Sports               ;lebron;28
Theater & Animation  ;2;28
Theater & Animation  ;honest;28
Entertainment        ;vs;27
Science & Politics   ;time;27
Entertainment        ;voice;26
Entertainment        ;world;26
Lifestyle            ;challenge;26
Lifestyle            ;diy;26
Lifestyle            ;full;26
Sports               ;plays;26
Entertainment        ;10;25
Entertainment        ;battle;25
Entertainment        ;cast;25
Science & Politics   ;about;25
Entertainment        ;bowl;24
Entertainment        ;ft;24
Entertainment        ;out;24
Gaming               ;trailer;24
Lifestyle            ;tried;24
Sports               ;2017;24
Sports               ;full;24
Theater & Animation  ;teaser;24
Entertainment        ;diy;23
Entertainment        ;more;23
Entertainment        ;not;23
Entertainment        ;review;23
Entertainment        ;talk;23
Lifestyle            ;face;23
Lifestyle            ;made;23
Music                ;2017;23
Science & Politics   ;live;23
Science & Politics   ;nbc;23
Science & Politics   ;watch;23
Entertainment        ;american;22
Entertainment        ;fair;22
Entertainment        ;golden;22
Entertainment        ;music;22
Science & Politics   ;2017;22
Science & Politics   ;today;22
Entertainment        ;box;21
Entertainment        ;day;21
Entertainment        ;has;21
